Usuario,ID del tweet,Contenido
JDOviedoA,1691569494911500798,"@CarlosATierra @cjportillaj @Siano38628837 @CxRamirezMiguel @aringind @JeissonRayo_Co @ConTodaBogota @JDOviedoA @knataliag @almaredondo22 @Yamidmerchan @JovenesOviedo @JDaniel_Oviedo_ @CamiloMartinezN @RobertGrajales_ @fansOviedoJuanD @JDOviedoAlcalde @amparopelaez @ROVIEDOA @Bogota @SoyJerome__ @FernanMartinez @julianclavijoo @Carlostamayo05 @FabianPardoR @rcnradio @Margari36127692 @gmedinaolarte @JulianArdilaB @MaytenOrtiz @ELTIEMPO @RevistaSemana @DieegoR10 @osomarcela @Niltorres_1 @Claudia049110 No es facil, pero lo vamos a lograr.."
JDOviedoA,1691647398857126251,RT @knataliag: @JDOviedoA Siempre hablando con la verdad. El que nada debe nada teme. https://t.co/8PJTtyD0h3
JDOviedoA,1691608410494550264,@JDOviedoA Siempre hablando con la verdad. El que nada debe nada teme. https://t.co/8PJTtyD0h3
JDOviedoA,1691647033529028722,RT @Liz___Abril: @JDOviedoA Feliz cumpleaños a la má! 🎉
JDOviedoA,1691622122609660253,@JDOviedoA Feliz cumpleaños a la má! 🎉
JDOviedoA,1691646997357289683,RT @bogota6deagosto: @JDOviedoA Felicitaciones a tu mamá Daniel 🎂🌻🎶
JDOviedoA,1691628095923523813,@JDOviedoA Felicitaciones a tu mamá Daniel 🎂🌻🎶
JDOviedoA,1691646971805569352,RT @LuisG7640184: @JDOviedoA Buenas noches Juan Daniel un fuerte abrazo para ella disfrútala y mil bendiciones que cumpla muchos más porque ellas también hacen parte de la historia de Colombia.
JDOviedoA,1691607773954392315,@JDOviedoA Buenas noches Juan Daniel un fuerte abrazo para ella disfrútala y mil bendiciones que cumpla muchos más porque ellas también hacen parte de la historia de Colombia.
JDOviedoA,1691646955720421696,RT @jucear69: @JDOviedoA CÉSAR ARIAS https://t.co/2zcacUjps2
JDOviedoA,1691632455277584496,@JDOviedoA CÉSAR ARIAS https://t.co/2zcacUjps2
